"","release_date","movie","production_budget","domestic_gross","worldwide_gross","distributor","mpaa_rating","genre","profit_ratio","decade","distributor_top7","md","month_day"
"203",2009-09-18,"Cloudy with a Chance of Meatballs",1e+08,124870275,236827677,"Sony Pictures","PG","Adventure",2.36827677,2000,"Sony Pictures",261,"Sep-18"
"204",2010-08-06,"The Other Guys",1e+08,119219978,170936470,"Sony Pictures","PG-13","Comedy",1.7093647,2010,"Sony Pictures",218,"Aug-6"
"205",2013-05-24,"Epic",1e+08,107518682,262794441,"20th Century Fox","PG","Adventure",2.62794441,2010,"20th Century Fox",144,"May-24"
"206",1996-06-21,"Eraser",1e+08,101295562,234400000,"Warner Bros.","R","Action",2.344,1990,"Warner Bros.",173,"Jun-21"
"207",1996-06-21,"The Hunchback of Notre Dame",1e+08,100138851,325500000,"Walt Disney","G","Adventure",3.255,1990,"Walt Disney",173,"Jun-21"
"208",2000-12-15,"The Emperor's New Groove",1e+08,89296573,169296573,"Walt Disney","G","Adventure",1.69296573,2000,"Walt Disney",350,"Dec-15"
"209",2012-08-17,"The Expendables 2",1e+08,85028192,311979256,"Lionsgate","R","Action",3.11979256,2010,"Lionsgate",230,"Aug-17"
"210",2009-10-16,"Where the Wild Things Are",1e+08,77233467,99123656,"Warner Bros.","PG","Adventure",0.99123656,2000,"Warner Bros.",289,"Oct-16"
"211",2006-12-15,"Eragon",1e+08,75030163,249488115,"20th Century Fox","PG","Adventure",2.49488115,2000,"20th Century Fox",349,"Dec-15"
"212",2014-07-25,"Hercules",1e+08,72688614,243388614,"Paramount Pictures","PG-13","Action",2.43388614,2010,"Paramount Pictures",206,"Jul-25"
"213",1999-11-24,"End of Days",1e+08,66889043,212026975,"Universal","R","Action",2.12026975,1990,"Universal",328,"Nov-24"
"214",2004-06-11,"The Stepford Wives",1e+08,59475623,96221971,"Paramount Pictures","PG-13","Comedy",0.96221971,2000,"Paramount Pictures",163,"Jun-11"
"215",2007-06-08,"Surf's Up",1e+08,58867694,145395745,"Sony Pictures","PG","Adventure",1.45395745,2000,"Sony Pictures",159,"Jun-8"
"216",2006-12-08,"Blood Diamond",1e+08,57377916,171377916,"Warner Bros.","R","Action",1.71377916,2000,"Warner Bros.",342,"Dec-8"
"217",1997-11-07,"Starship Troopers",1e+08,54768952,121100000,"Sony Pictures","R","Action",1.211,1990,"Sony Pictures",311,"Nov-7"
"218",2009-06-05,"Land of the Lost",1e+08,49438370,69548641,"Universal","PG-13","Comedy",0.69548641,2000,"Universal",156,"Jun-5"
"219",2004-07-23,"Catwoman",1e+08,40202379,82145379,"Warner Bros.","PG-13","Action",0.82145379,2000,"Warner Bros.",205,"Jul-23"
"220",2014-08-15,"The Expendables 3",1e+08,39322544,209461378,"Lionsgate","PG-13","Action",2.09461378,2010,"Lionsgate",227,"Aug-15"
"221",2002-11-27,"Treasure Planet",1e+08,38120554,91800000,"Walt Disney","PG","Adventure",0.918,2000,"Walt Disney",331,"Nov-27"
"222",2010-03-12,"Green Zone",1e+08,35497337,97523020,"Universal","R","Drama",0.9752302,2010,"Universal",71,"Mar-12"
"223",2017-10-20,"Geostorm",1e+08,33700160,220800160,"Warner Bros.","PG-13","Action",2.2080016,2010,"Warner Bros.",293,"Oct-20"
"224",2015-12-11,"In the Heart of the Sea",1e+08,25020758,89693309,"Warner Bros.","PG-13","Adventure",0.89693309,2010,"Warner Bros.",345,"Dec-11"
"225",2005-02-18,"Son of the Mask",1e+08,17018422,59918422,"New Line","PG","Adventure",0.59918422,2000,"Other",49,"Feb-18"
"226",2002-08-16,"The Adventures of Pluto Nash",1e+08,4411102,7094995,"Warner Bros.","PG-13","Comedy",0.07094995,2000,"Warner Bros.",228,"Aug-16"
"227",2012-01-20,"Jin líng shí san chai",1e+08,311434,98227017,"Wrekin Hill Enterta…","R","Drama",0.98227017,2010,"Other",20,"Jan-20"
"228",2015-11-06,"The Peanuts Movie",9.9e+07,130178411,250091610,"20th Century Fox","G","Adventure",2.52617787878788,2010,"20th Century Fox",310,"Nov-6"
"229",2001-05-04,"The Mummy Returns",9.8e+07,202007640,435040395,"Universal","PG-13","Adventure",4.43918770408163,2000,"Universal",124,"May-4"
"230",2002-12-20,"Gangs of New York",9.7e+07,77730500,183124621,"Miramax","R","Drama",1.88788269072165,2000,"Other",354,"Dec-20"
"231",2017-05-19,"Alien: Covenant",9.7e+07,74262031,238521247,"20th Century Fox","R","Horror",2.45898192783505,2010,"20th Century Fox",139,"May-19"
"232",2015-03-13,"Cinderella",9.5e+07,201151353,534551353,"Walt Disney","PG","Drama",5.62685634736842,2010,"Walt Disney",72,"Mar-13"
"233",2012-07-13,"Ice Age: Continental Drift",9.5e+07,161321843,879765137,"20th Century Fox","PG","Adventure",9.26068565263158,2010,"20th Century Fox",195,"Jul-13"
"234",2001-12-28,"Black Hawk Down",9.5e+07,108638745,159691085,"Sony Pictures","R","Action",1.68095878947368,2000,"Sony Pictures",362,"Dec-28"
"235",2010-05-27,"Sex and the City 2",9.5e+07,95347692,294680778,"Warner Bros.","R","Comedy",3.10190292631579,2010,"Warner Bros.",147,"May-27"
"236",2012-08-10,"The Campaign",9.5e+07,86907746,104907746,"Warner Bros.","R","Comedy",1.10429206315789,2010,"Warner Bros.",223,"Aug-10"
"237",2010-11-12,"Unstoppable",9.5e+07,81562942,165720921,"20th Century Fox","PG-13","Action",1.74443074736842,2010,"20th Century Fox",316,"Nov-12"
"238",1997-05-09,"The Fifth Element",9.5e+07,63570862,263898761,"Sony Pictures","PG-13","Action",2.77788169473684,1990,"Sony Pictures",129,"May-9"
"239",2000-03-31,"The Road to El Dorado",9.5e+07,50802661,65700000,"Dreamworks SKG","PG","Adventure",0.691578947368421,2000,"Other",91,"Mar-31"
"240",2009-12-11,"The Lovely Bones",9.5e+07,44114232,94894448,"Paramount Pictures","PG-13","Drama",0.99888892631579,2000,"Paramount Pictures",345,"Dec-11"
"241",2015-02-06,"Seventh Son",9.5e+07,17725785,109485785,"Universal","PG-13","Adventure",1.15248194736842,2010,"Universal",37,"Feb-6"
"242",2003-05-30,"Finding Nemo",9.4e+07,380529370,936429370,"Walt Disney","G","Adventure",9.96201457446809,2000,"Walt Disney",150,"May-30"
"243",2001-06-15,"Lara Croft: Tomb Raider",9.4e+07,131144183,273330185,"Paramount Pictures","PG-13","Adventure",2.90776792553191,2000,"Paramount Pictures",166,"Jun-15"
"244",2015-02-13,"Kingsman: The Secret Service",9.4e+07,128261724,404561724,"20th Century Fox","R","Action",4.30384812765957,2010,"20th Century Fox",44,"Feb-13"
